t,id,x,y,r
5.23,0,1.79451,16.0474,0.250993
5.24,0,1.81352,16.0412,0.250993
5.25,0,1.83253,16.035,0.250993
5.26,0,1.85154,16.0288,0.250993
5.27,0,1.87055,16.0226,0.250993
5.28,0,1.88956,16.0164,0.250993
5.29,0,1.90857,16.0102,0.250993
5.3,0,1.92759,16.004,0.250993
5.31,0,1.9466,15.9977,0.250993
5.32,0,1.96562,15.9915,0.250993
5.33,0,1.98464,15.9853,0.250993
5.34,0,2.00365,15.9791,0.250993
5.35,0,2.02267,15.9729,0.250993
5.36,0,2.04169,15.9667,0.250993
5.37,0,2.06071,15.9605,0.250993
5.38,0,2.07973,15.9543,0.250993
5.39,0,2.09875,15.9481,0.250993
5.4,0,2.11778,15.9419,0.250993
5.41,0,2.1368,15.9357,0.250993
5.42,0,2.15582,15.9295,0.250993
5.43,0,2.17485,15.9233,0.250993
5.44,0,2.19388,15.9171,0.250993
5.45,0,2.2129,15.9109,0.250993
5.46,0,2.23193,15.9047,0.250993
5.47,0,2.25096,15.8985,0.250993
5.48,0,2.26999,15.8923,0.250993
5.49,0,2.28902,15.8861,0.250993
5.5,0,2.30805,15.8799,0.250993
5.51,0,2.32709,15.8737,0.250993
5.52,0,2.34612,15.8675,0.250993
5.53,0,2.36516,15.8613,0.250993
5.54,0,2.38419,15.8551,0.250993
5.55,0,2.40323,15.8489,0.250993
5.56,0,2.42226,15.8427,0.250993
5.57,0,2.4413,15.8366,0.250993
5.58,0,2.46034,15.8304,0.250993
5.59,0,2.47938,15.8242,0.250993
5.6,0,2.49843,15.818,0.250993
5.61,0,2.51747,15.8118,0.250993
5.62,0,2.53651,15.8056,0.250993
5.63,0,2.55556,15.7994,0.250993
5.64,0,2.5746,15.7933,0.250993
5.65,0,2.59365,15.7871,0.250993
5.66,0,2.6127,15.7809,0.250993
5.67,0,2.63175,15.7747,0.250993
5.68,0,2.6508,15.7685,0.250993
5.69,0,2.66985,15.7623,0.250993
5.7,0,2.6889,15.7562,0.250993
5.71,0,2.70795,15.75,0.250993
